code,name_query,country_hint,status,reason
ACO,Abcoude overloopwissels,Netherlands,NOT_FOUND,
AMFGA,Amersfoort Goederensporen Aansluiting,Netherlands,NOT_FOUND,
ASDWPL,Amsterdam lijnwerkplaats (vroeger Zst nu Aswplm/n/z),Netherlands,NOT_FOUND,
ASW,Amsterdamscheweg (eerder Amstelveenscheweg) (Haarlemmermeer),Netherlands,NOT_FOUND,
AWH,Amsterdam Westhavengebied,Netherlands,NOT_FOUND,
AWHVG,Amsterdam Westhaven (voorheen Awhv),Netherlands,NOT_FOUND,
BLOA,Blauwkapel Oost aansluiting (hoge sporen),Netherlands,NOT_FOUND,
BNV,Barneveld-Voorthuizen (onderstation),Netherlands,NOT_FOUND,
BRGND,Betuweroute Giessendam overloopwissels (Brgro-Brppd),Netherlands,NOT_FOUND,
BRGRO,Betuweroute Gorinchem overloopwissels (Brmet-Brgnd),Netherlands,NOT_FOUND,
BRNA,Baarn aansluiting,Netherlands,NOT_FOUND,
CRAO,Crailoo aansluiting oost,Netherlands,NOT_FOUND,
CRAW,Crailoo aansluiting west,Netherlands,NOT_FOUND,
DVGE,Deventer goederenemplacement,Netherlands,NOT_FOUND,
HMLA,Harmelen aansluiting,Netherlands,NOT_FOUND,
HMLBA,Harmelen-Breukelen aansluiting,Netherlands,NOT_FOUND,
KV,Keverdijk aansluiting (schakelstation),Netherlands,NOT_FOUND,
MBTWAN,Meteren Betuweroute aansluiting noord (aansluiting op Betuwelijn tussen Gdm en Htda),Netherlands,NOT_FOUND,
MBTWAZ,Meteren Betuweroute aansluiting zuid (aansluiting op Betuwelijn tussen Htda en Gdm),Netherlands,NOT_FOUND,
MDSA,Muiderstraatweg aansluiting (Diemen),Netherlands,NOT_FOUND,
ODO,Oudewater overloopwissels,Netherlands,NOT_FOUND,
ODS,Oosterdoksluis (brug tussen Asd en Dgra),Netherlands,NOT_FOUND,
TBGE,Tilburg goederenemplacement,Netherlands,NOT_FOUND,
UTOA,Utrecht Overvecht aansluiting,Netherlands,NOT_FOUND,
UTZA,Utrecht Zuid aansluiting (vroeger Lak),Netherlands,NOT_FOUND,
VTBR,Vecht (brug bij Wp),Netherlands,NOT_FOUND,
WGMO,Watergraafsmeer Oost aansluiting,Netherlands,NOT_FOUND,
WGMW,Watergraafsmeer West aansluiting,Netherlands,NOT_FOUND,
