code,name_query,country_hint,lat,lon
ACO,Abcoude overloopwissels,Netherlands,52.269583,4.985528
AMFGA,Amersfoort Goederensporen Aansluiting,Netherlands,52.157667,5.352972
ASDWPL,Amsterdam lijnwerkplaats (vroeger Zst nu Aswplm/n/z),Netherlands,52.389028,4.872500
AWH,Amsterdam Westhavengebied,Netherlands,52.401389,4.847056
AWHVG,Amsterdam Westhaven (voorheen Awhv),Netherlands,52.401389,4.847056
BLOA,Blauwkapel Oost aansluiting (hoge sporen),Netherlands,52.119639,5.165278
BNV,Barneveld-Voorthuizen (onderstation),Netherlands,52.162139,5.602139
BRGND,Betuweroute Giessendam overloopwissels (Brgro-Brppd),Netherlands,51.836333,4.824417
BRGRO,Betuweroute Gorinchem overloopwissels (Brmet-Brgnd),Netherlands,51.842167,5.019000
BRNA,Baarn aansluiting,Netherlands,52.202626,5.290499
CRAO,Crailoo aansluiting oost,Netherlands,52.247333,5.170056
CRAW,Crailoo aansluiting west,Netherlands,52.262972,5.164000
DVGE,Deventer goederenemplacement,Netherlands,52.256528,6.173389
HMLA,Harmelen aansluiting,Netherlands,52.103222,4.948111
HMLBA,Harmelen-Breukelen aansluiting,Netherlands,52.115306,4.965833
KV,Keverdijk aansluiting (schakelstation),Netherlands,52.296750,5.085806
MBTWAN,Meteren Betuweroute aansluiting noord (aansluiting op Betuwelijn tussen Gdm en Htda),Netherlands,51.869750,5.271028
MBTWAZ,Meteren Betuweroute aansluiting zuid (aansluiting op Betuwelijn tussen Htda en Gdm),Netherlands,51.855750,5.260806
MDSA,Muiderstraatweg aansluiting (Diemen),Netherlands,52.330639,5.001639
ODS,Oosterdoksluis (brug tussen Asd en Dgra),Netherlands,52.376944,4.910917
TBGE,Tilburg goederenemplacement,Netherlands,51.563417,5.061111
UTOA,Utrecht Overvecht aansluiting,Netherlands,52.108639,5.119111
UTZA,Utrecht Zuid aansluiting (vroeger Lak),Netherlands,52.072694,5.136694
VTBR,Vecht (brug bij Wp),Netherlands,52.309833,5.048083
WGMO,Watergraafsmeer Oost aansluiting,Netherlands,52.341278,4.979333
WGMW,Watergraafsmeer West aansluiting,Netherlands,52.357667,4.937278
UTM,Utrecht Maliebaan,Netherlands,52.088600,5.130500
MDK,Moerdijk raccordement,Netherlands,51.686600,4.608900
SLOE,Sloehaven,Netherlands,51.448900,3.696100
SLOHST,Sloehaven raccordement Hoechst,Netherlands,51.446000,3.690000
ZST,Amsterdam Zaanstraat (gewijzigd in Asdwpl),Netherlands,52.389028,4.872500
EHB,Eindhoven Beukenlaan (nu Ehs),Netherlands,51.451500,5.456000
VWD,Veenwouden (nu Fwd),Netherlands,53.235200,5.986300
TBI,Tilburg industrieterrein (Loven),Netherlands,51.567000,5.115000
STO,Stroe (emplacement),Netherlands,52.05510,5.70800
