"stationscode","rijrichting","pad_minuten"
"BRNA","WEST","20;50"
"BRNA","OOST","09;39"
"BRN","WEST","21;51"
"BRN","OOST","08;38"
"HVS","WEST","27;57"
"HVS","OOST","02;32"
"HVSM","WEST","28;58"
"HVSM","OOST","01;31"
"BSMZ","WEST","32;02"
"BSMZ","OOST","57;27"
"NDB","WEST","34;04"
"NDB","OOST","55;25"
"WP","WEST","36;06"
"WP","OOST","53;23"
"AMF","OOST","15;45"
"AMF","WEST","15;43"
"STO","OOST","11;53"
"STO","WEST","02;10;32"
"APD","OOST","09;24;27"
"APD","WEST","20;50"
"TWL","OOST","15;32"
"TWL","WEST","12;15;43"
"DV","OOST","23;40"
"DV","WEST","07;10;37"
"DVGE","OOST","13"
"DVC","OOST","28;45"
"DVC","WEST","04;31;35"
"RSN","OOST","00;39;44"
"RSN","WEST","18;21;50"
"WDN","OOST","46"
"WDN","WEST","14;17;42;47"
"AML","OOST","14;50"
"AML","WEST","10;40"
"BN","WEST","02"
"HGL","OOST","02;27"
"HGL","WEST","27;57"
"ODZ","OOST","12"
"ODZ","WEST","41;46"
"ASDM","OOST","10"
"ASDM","WEST","20;23;51"
