id,code,uic,name_short,name_medium,name_long,slug,country,type
266,HT,8400319,Den Bosch,'s-Hertogenbosch,'s-Hertogenbosch,s-hertogenbosch,NL,knooppuntIntercitystation
269,HTO,8400320,Dn Bosch O,'s-Hertogenb. O.,'s-Hertogenbosch Oost,s-hertogenbosch-oost,NL,stoptreinstation
227,HDE,8400388,'t Harde,'t Harde,'t Harde,t-harde,NL,stoptreinstation
8,AHBF,8015345,Aachen,Aachen Hbf,Aachen Hbf,aachen-hbf,D,knooppuntIntercitystation
818,AW,8015199,Aachen W,Aachen West,Aachen West,aachen-west,D,stoptreinstation
51,ATN,8400045,Aalten,Aalten,Aalten,aalten,NL,stoptreinstation
5,AC,8400047,Abcoude,Abcoude,Abcoude,abcoude,NL,stoptreinstation
550,EAHS,8021123,Ahaus,Ahaus,Ahaus,ahaus,D,stoptreinstation
12,AIME,8774176,Aime-la-Pl,Aime-la-Plagne,Aime-la-Plagne,aime-la-plagne,F,intercitystation
819,ACDG,8727149,Airport dG,Airport deGaulle,Airport Charles de Gaulle,airport-charles-de-gaulle,F,knooppuntIntercitystation
551,AIXTGV,8731901,Aix-en-Pro,Aix-en-Provence,Aix-en-Provence TGV,aix-en-provence-tgv,F,intercitystation
14,AKM,8400049,Akkrum,Akkrum,Akkrum,akkrum,NL,stoptreinstation
15,ALBERT,8774164,Albertv.,Albertville,Albertville,albertville,F,intercitystation
26,AMR,8400050,Alkmaar,Alkmaar,Alkmaar,alkmaar,NL,knooppuntIntercitystation
28,AMRN,8400052,Alkmaar N,Alkmaar Noord,Alkmaar Noord,alkmaar-noord,NL,stoptreinstation
25,AML,8400051,Almelo,Almelo,Almelo,almelo,NL,knooppuntIntercitystation
27,AMRI,8400520,de Riet,de Riet,Almelo de Riet,almelo-de-riet,NL,stoptreinstation
18,ALMB,8400081,Buiten,Buiten,Almere Buiten,almere-buiten,NL,stoptreinstation
17,ALM,8400080,Almere C,Almere C.,Almere Centrum,almere-centrum,NL,knooppuntIntercitystation
19,ALMM,8400082,Muziekwijk,Muziekwijk,Almere Muziekwijk,almere-muziekwijk,NL,stoptreinstation
20,ALMO,8400226,Oostvaard,Oostvaarders,Almere Oostvaarders,almere-oostvaarders,NL,stoptreinstation
21,ALMP,8400104,Parkwijk,Parkwijk,Almere Parkwijk,almere-parkwijk,NL,stoptreinstation
680,AMPO,8400450,Poort,Poort,Almere Poort,almere-poort,NL,stoptreinstation
36,APN,8400053,Alphen,Alphen a/d Rijn,Alphen a/d Rijn,alphen-a-d-rijn,NL,knooppuntIntercitystation
553,EABG,8021148,Altenberge,Altenberge,Altenberge,altenberge,D,stoptreinstation
23,AMF,8400055,Amersfrt C,Amersfoort C.,Amersfoort Centraal,amersfoort-centraal,NL,knooppuntIntercitystation
24,AMFS,8400054,Schothorst,Schothorst,Amersfoort Schothorst,amersfoort-schothorst,NL,stoptreinstation
54,AVAT,8400228,Vathorst,Vathorst,Amersfoort Vathorst,amersfoort-vathorst,NL,stoptreinstation
40,ASA,8400057,Amstel,Amstel,Amsterdam Amstel,amsterdam-amstel,NL,intercitystation
41,ASB,8400074,Bijlmer A,Bijlmer ArenA,Amsterdam Bijlmer ArenA,amsterdam-bijlmer-arena,NL,knooppuntStoptreinstation
43,ASD,8400058,Amsterdm C,Amsterdam C.,Amsterdam Centraal,amsterdam-centraal,NL,megastation
47,ASHD,8400231,Holendrcht,Holendrecht,Amsterdam Holendrecht,amsterdam-holendrecht,NL,stoptreinstation
44,ASDL,8400079,Lelylaan,Lelylaan,Amsterdam Lelylaan,amsterdam-lelylaan,NL,stoptreinstation
45,ASDM,8400060,Muiderprt,Muiderpoort,Amsterdam Muiderpoort,amsterdam-muiderpoort,NL,stoptreinstation
393,RAI,8400056,RAI,RAI,Amsterdam RAI,amsterdam-rai,NL,stoptreinstation
48,ASSP,8400235,Scienceprk,Science Park,Amsterdam Science Park,amsterdam-science-park,NL,stoptreinstation
50,ASS,8400059,Sloterdijk,Sloterdijk,Amsterdam Sloterdijk,amsterdam-sloterdijk,NL,knooppuntIntercitystation
46,ASDZ,8400061,Amsterdm Z,Amsterdam Zuid,Amsterdam Zuid,amsterdam-zuid,NL,intercitystation
840,AMST,8101049,Amstetten,Amstetten No,Amstetten No,amstetten-no,A,intercitystation
29,ANA,8400065,Anna Paulo,Anna Paulowna,Anna Paulowna,anna-paulowna,NL,stoptreinstation
699,BERCH,8821121,Antw-Berch,Antw-Berchem,Antwerpen-Berchem,antwerpen-berchem,B,knooppuntIntercitystation
52,ATW,8821006,Antw-C,Antwerpen-C.,Antwerpen-Centraal,antwerpen-centraal,B,megastation
555,ATWLB,8821063,Antw-Bal,Antw-Luchtbal,Antwerpen-Luchtbal,antwerpen-luchtbal,B,stoptreinstation
556,ANDD,8821089,Antw-dok,Antw-N'dokken,Antwerpen-Noorderdokken,antwerpen-noorderdokken,B,stoptreinstation
701,FNZD,8821196,Antw-Z,Antwerpen-Z.,Antwerpen-Zuid,antwerpen-zuid,B,stoptreinstation
31,APD,8400066,Apeldoorn,Apeldoorn,Apeldoorn,apeldoorn,NL,knooppuntIntercitystation
32,APDM,8400233,De Maten,De Maten,Apeldoorn De Maten,apeldoorn-de-maten,NL,stoptreinstation
